Name,Users_Rating,Height_m,Section_Name,Area_Name,Sub_Area_Name,Latitude,Longitude,Distance_From_EDI_miles,Drive_Time_hrs,Car_Park,Toilets_Info,Is_Climbed,Time_Estimate,Suggested_Leaving_Time,Reviews,PostCode
Blacklorg Hill,2.8,681.00,Southern Uplands,Galloway,Forest of Carsphairn,55.313768,-4.122569,68.5,2.61,Roadside parking on A713 near Carsphairn (NS560196),None nearby,No,2.6-3.5 hrs,12:16,,DG4
Loch Fell,3.5,688.30,Southern Uplands,The Borders,Moffat to Eskdalemuir,55.329626,-3.309242,63.6,2.97,"Grey Mare's Tail car park, A708 (NT186144)",Moffat town centre,No,2.6-3.6 hrs,11:27,,DG10
Gathersnow Hill,3.0,689.50,Southern Uplands,The Borders,Tinto and Culter Fells,55.515977,-3.492268,45.5,1.98,Layby near Coulter Reservoir (NT031310),None nearby,No,2.7-3.6 hrs,13:26,,ML12
Erie Hill,4.1,690.00,Southern Uplands,The Borders,Tweedsmuir and Manor Hills,55.454647,-3.386548,41.6,1.76,Grey Mare's Tail car park (NT186144),None nearby,No,2.7-3.6 hrs,13:52,,DG10
Talla Cleuch Head,3.9,691.00,Southern Uplands,The Borders,Tweedsmuir and Manor Hills,55.48258,-3.372701,39.8,1.13,Megget Stone layby (NT150202),None nearby,No,2.7-3.6 hrs,15:08,,ML12
Ballencleuch Law,3.1,691.40,Southern Uplands,Galloway,Lowther Hills,55.32723,-3.679207,54.5,1.7,Wanlockhead village parking (NS873131),Wanlockhead museum,No,2.7-3.6 hrs,14:00,,DG3
Ettrick Pen,3.5,691.80,Southern Uplands,The Borders,Moffat to Eskdalemuir,55.356213,-3.263524,54.0,1.7,"Grey Mare's Tail car park, A708 (NT186144)",Moffat town centre,No,2.7-3.6 hrs,14:00,,DG10
Mullwharchar,3.8,692.00,Southern Uplands,Galloway,Glen Trool and Glenkens,55.149863,-4.427347,101.7,4.78,Glen Trool visitor centre car park (NX397788),Glen Trool visitor centre,No,2.7-3.6 hrs,07:50,,DG8
Meaul,3.8,695.00,Southern Uplands,Galloway,Glen Trool and Glenkens,55.190293,-4.356843,96.7,3.24,Glen Trool visitor centre car park (NX397788),Glen Trool visitor centre,No,2.7-3.6 hrs,10:55,,DG8
Tarfessock,3.1,696.40,Southern Uplands,Galloway,Glen Trool and Glenkens,55.171361,-4.499496,104.0,3.04,Glen Trool visitor centre car park (NX397788),Glen Trool visitor centre,No,2.7-3.6 hrs,11:19,,KA26
Queensberry,3.4,697.10,Southern Uplands,Galloway,Lowther Hills,55.281454,-3.593085,60.7,2.23,There is space for a couple of cars on the grass verge - do not park at the Mitchellslacks entrance as large vehicles need to turn here; there may be more space further along the public road.,None nearby,No,2.7-3.6 hrs,12:56,,DG10
Chapelgill Hill,3.3,697.80,Southern Uplands,The Borders,Tinto and Culter Fells,55.55813,-3.480563,33.7,1.26,Layby near Coulter Reservoir (NT031310),None nearby,No,2.7-3.6 hrs,14:52,,ML12
Windy Standard,3.0,697.90,Southern Uplands,Galloway,Forest of Carsphairn,55.28796,-4.174392,77.9,2.91,Roadside parking on A713 near Carsphairn (NS560196),None nearby,No,2.7-3.7 hrs,11:28,,DG4
Garelet Dod,3.6,698.00,Southern Uplands,The Borders,Tweedsmuir and Manor Hills,55.44135,-3.383094,41.7,1.33,Talla Linnfoots roadside parking (NT136198),None nearby,No,2.7-3.7 hrs,14:38,,DG10
Black Law,2.0,698.00,Southern Uplands,The Borders,Tweedsmuir and Manor Hills,55.538826,-3.233229,43.0,2.41,"Glen Road layby, Peebles (NT259392)",Peebles town centre,No,2.7-3.7 hrs,12:28,,EH45
Blackcraig Hill,3.4,700.90,Southern Uplands,Galloway,Forest of Carsphairn,55.333082,-4.133457,69.3,2.73,Roadside parking on A713 near Carsphairn (NS560196),None nearby,No,2.7-3.7 hrs,11:50,,DG4
Cairnsmore of Fleet,3.8,711.10,Southern Uplands,Galloway,Glen Trool and Glenkens,54.975447,-4.343329,102.1,2.99,"The road bends sharp left to cross the Graddoch burn bridge, after this continue a short distance until a parking sign indicates a track on the right - the parking area is in several bays along the le",None nearby,No,2.8-3.7 hrs,11:19,,DG8
Tinto Hill,3.2,711.60,Southern Uplands,The Borders,Tinto and Culter Fells,55.591617,-3.662553,35.2,1.27,"Tinto Hill car park, Fullburn off A73 (NS964374)",None nearby,No,2.8-3.8 hrs,14:39,,ML12
Lamachan Hill,3.3,716.70,Southern Uplands,Galloway,Glen Trool and Glenkens,55.062743,-4.45156,107.9,3.33,Park at the car park at the end of the public road up Glen Trool.,None nearby,No,2.8-3.8 hrs,10:32,,DG8
Middle Hill,2.2,717.20,Southern Uplands,The Borders,Tweedsmuir and Manor Hills,55.551448,-3.333934,34.7,1.38,"Roadside parking near cottage, Drumelzier (NT136340)",None nearby,No,2.8-3.8 hrs,14:26,,EH45
Ben Cleuch,3.8,721.00,Southern Highlands incl Jura and Arran,Loch Tay to the Trossachs,Ochils,56.185695,-3.769497,37.7,1.44,"Upper Mill St, Tillicoultry (NS914974)",Tillicoultry town centre,No,2.8-3.8 hrs,14:19,,FK12
Cape Law,2.6,722.00,Southern Uplands,The Borders,Tweedsmuir and Manor Hills,55.421878,-3.374213,41.8,1.34,"Blackshope roadside parking, A708 (NT146098)",None nearby,No,2.8-3.8 hrs,14:31,,DG10
Lowther Hill,3.1,725.00,Southern Uplands,Galloway,Lowther Hills,55.378254,-3.752489,51.1,1.53,Wanlockhead village parking (NS873131),Wanlockhead museum,No,2.8-3.8 hrs,14:08,,DG4
